"costs";"clicks";"visits";"sql_date";"strategy_id"
0.0000;0;0;"2017-02-28";8398
0.0000;0;0;"2017-02-28";8005
0.0000;0;0;"2017-02-28";7487
125.9643;0;0;"2017-02-28";6957
0.0000;0;0;"2017-02-28";6945
0.0000;0;0;"2017-02-28";6944
143.1000;0;0;"2017-02-28";6788
0.0000;0;0;"2017-02-28";6734
424.7971;0;0;"2017-02-28";6718
108.2143;0;0;"2017-02-28";6579
0.0000;0;0;"2017-02-28";6413
0.0000;0;0;"2017-02-28";6412
0.0000;0;0;"2017-02-28";6411
0.0000;0;0;"2017-02-28";6317
0.0000;0;0;"2017-02-28";6316
0.0000;0;0;"2017-02-28";6315
0.0000;0;0;"2017-02-28";6314
0.0000;0;0;"2017-02-28";6313
0.0000;0;0;"2017-02-28";6312
0.0000;0;0;"2017-02-28";6311
0.0000;0;0;"2017-02-28";6308
0.0000;0;0;"2017-02-28";5687
0.0000;0;0;"2017-02-28";4307
0.0000;0;0;"2017-02-28";3568
0.0000;0;0;"2017-02-28";3566
0.0000;0;0;"2017-02-28";3565
0.0000;0;0;"2017-02-28";2902
0.0000;0;0;"2017-02-28";2766
0.0000;0;0;"2017-02-28";2763
0.0000;0;0;"2017-02-28";2561
0.0000;0;0;"2017-02-28";2560
0.0000;0;0;"2017-02-28";2559
0.0000;0;0;"2017-02-28";2233
0.0000;0;0;"2017-02-28";2231
0.0000;0;0;"2017-02-28";752
0.0000;0;0;"2017-02-28";751
0.0000;0;0;"2017-02-28";744
0.0000;0;0;"2017-02-28";260
0.0000;0;0;"2017-02-28";210
0.0000;0;0;"2017-02-28";-5
91.4886;0;0;"2017-02-28";-6
0.0000;0;0;"2017-02-28";-7
0.0000;0;0;"2017-02-27";8398
0.0000;0;0;"2017-02-27";8005
0.0000;0;0;"2017-02-27";7487
125.9643;0;0;"2017-02-27";6957
0.0000;0;0;"2017-02-27";6945
0.0000;0;0;"2017-02-27";6944
143.1000;0;0;"2017-02-27";6788
0.0000;0;0;"2017-02-27";6734
424.7971;0;0;"2017-02-27";6718
108.2143;0;0;"2017-02-27";6579
0.0000;0;0;"2017-02-27";6413
0.0000;0;0;"2017-02-27";6412
0.0000;0;0;"2017-02-27";6411
0.0000;0;0;"2017-02-27";6317
0.0000;0;0;"2017-02-27";6316
0.0000;0;0;"2017-02-27";6315
0.0000;0;0;"2017-02-27";6314
